Vehicle_id,driver_id, vehicle_registration_number,make,model,body_style,year_registered,colour,insurance_expiry _date
1,1,VU16 DWT,VAUXHALL,Mokka,Multi Purpose Vehicle,2016,yellow,2024/10/03
2,2,FH22 ZIS,VAUXHALL,Astra,5 door hatchback,2022,white,2025/04/30
3,3,ZQ20 KFV,VOLKSWAGEN,Polo,5 door hatchback,2020,black,2025/04/14
4,4,DI20 NHB,VAUXHALL,Astra,5 door hatchback,2020,yellow,2024/07/20
5,5,BC22 ZYS,BMW,series 4,5 door hatchback,2022,silver,2024/11/03
6,6,DI20 AJC,FORD,Explorer,5 door Estate,2020,yellow,2025/03/17
7,7,QM19 LEH,VAUXHALL,Astra,5 door hatchback,2019,white,2024/12/18
8,8,EF22 PEB,VAUXHALL,Astra,5 door hatchback,2022,white,2025/02/13
9,9,RR22 WYT,TOYOTA,Corolla,5 door hatchback,2022,blue,2024/08/22
10,10,RI23 JUH,VOLKSWAGEN,Passat,5 door Estate,2023,white,2025/05/21
11,11,GW17 BTE,VAUXHALL,Astra,5 door hatchback,2017,white,2024/06/18
12,12,UC24 AUD,FORD,focus,5 door hatchback,2024,yellow,2024/11/30
13,13,CG21 JRE,VAUXHALL,Zafira,5 door Estate,2021,brown,2025/02/23
14,14,BK20 DOI,FORD,focus,5 door hatchback,2020,black,2025/05/18
15,15,AW24 DDM,VAUXHALL,Astra,5 door hatchback,2024,red,2024/08/08
16,16,MV24 JXR,TOYOTA,Corolla,5 door hatchback,2024,brown,2024/11/08
17,17,WU22 IRX,FORD,Explorer,5 door Estate,2022,brown,2025/01/18
18,18,UD18 IMY,VOLKSWAGEN,Polo,5 door hatchback,2018,black,2025/01/02
19,19,CR19 QHF,BMW,Series 3,4 door + boot,2019,black,2024/11/20
20,20,UO24 CUU,VAUXHALL,Astra,5 door hatchback,2024,blue,2024/07/27
21,21,ZS24 KKW,VAUXHALL,Astra,5 door hatchback,2024,black,2024/08/12
22,22,DE18 LEZ,VAUXHALL,Astra,5 door hatchback,2018,black,2024/12/11
23,23,BT23 QEQ,FORD,focus,5 door hatchback,2023,brown,2024/06/03
24,24,YA20 VVE,VAUXHALL,Mokka,Multi Purpose Vehicle,2020,brown,2024/09/06
25,25,FM22 ICQ,VOLKSWAGEN,Polo,5 door hatchback,2022,black,2024/06/06
26,26,DK22 AJR,VAUXHALL,Astra,5 door hatchback,2022,yellow,2024/07/17
27,27,CP20 RVH,VAUXHALL,Astra,5 door hatchback,2020,silver,2024/11/12
28,28,KZ22 DOJ,BMW,Series 3,4 door + boot,2022,yellow,2025/05/05
29,29,EI19 QFV,TOYOTA,City Verso,Multi Purpose Vehicle,2019,yellow,2024/09/24
30,30,FC17 ZYG,VAUXHALL,Astra,5 door hatchback,2017,yellow,2024/12/29
31,31,XM20 ZAY,VAUXHALL,Astra,5 door hatchback,2020,silver,2024/08/11
32,32,GU24 YWW,VAUXHALL,Astra,5 door hatchback,2024,yellow,2024/09/01
33,33,PK17 OGP,BMW,Series 3,4 door + boot,2017,silver,2024/09/20
34,34,YO16 YBM,VAUXHALL,Astra,5 door hatchback,2016,brown,2024/06/30
35,35,MS18 SOO,FORD,focus,5 door hatchback,2018,brown,2024/09/18
36,36,LI22 KRM,VOLKSWAGEN,Polo,5 door hatchback,2022,white,2024/08/22
37,37,JV21 VCW,FORD,focus,5 door hatchback,2021,blue,2025/04/07
38,38,RZ24 VYZ,FORD,focus,5 door hatchback,2024,yellow,2024/12/09
39,39,IP20 ANB,VAUXHALL,Astra,5 door hatchback,2020,blue,2024/07/21
40,40,LV17 BJC,BMW,Series 3,4 door + boot,2017,silver,2025/01/24
41,41,RQ19 PNF,TOYOTA,Corolla,5 door hatchback,2019,brown,2024/10/20
42,42,EQ24 VGF,FORD,focus,5 door hatchback,2024,blue,2024/11/09
43,43,ET23 GUM,FORD,focus,5 door hatchback,2023,red,2024/06/10
44,44,VD16 FPK,BMW,Series 3,4 door + boot,2016,brown,2024/11/09
45,45,FK22 IMT,FORD,focus,5 door hatchback,2022,black,2024/11/15
46,46,EF19 QEG,BMW,Series 3,4 door + boot,2019,yellow,2024/06/24
47,47,XE24 OWQ,BMW,series 4,5 door hatchback,2024,yellow,2024/12/20
48,48,ED23 XHN,VOLKSWAGEN,Passat,5 door Estate,2023,black,2024/09/13
49,49,OO21 RMR,FORD,focus,5 door hatchback,2021,brown,2025/04/30
50,50,ZA18 DTW,VAUXHALL,Astra,5 door hatchback,2018,silver,2025/01/21
51,51,VC24 JTZ,VOLKSWAGEN,Polo,5 door hatchback,2024,yellow,2024/06/18
52,52,ZN20 GWI,VAUXHALL,Astra,5 door hatchback,2020,red,2024/07/07
53,53,UH17 LIA,BMW,series 1,5 door hatchback,2017,blue,2025/05/28
54,54,YH21 UCW,VOLKSWAGEN,Passat,5 door Estate,2021,white,2024/10/14
55,55,JP16 XNQ,BMW,Series 3,4 door + boot,2016,brown,2025/03/19
56,56,BM19 BPF,BMW,Series 3,4 door + boot,2019,white,2024/10/07
57,57,AC23 ASI,BMW,Series 3,4 door + boot,2023,blue,2024/06/29
58,58,QB22 ODM,VOLKSWAGEN,Polo,5 door hatchback,2022,yellow,2024/08/02
59,59,LO18 FNE,FORD,focus,5 door hatchback,2018,red,2025/04/02
60,60,FD19 CBJ,FORD,Tourneo Courier,Multi Purpose Vehicle,2019,brown,2024/11/26
61,61,KQ16 GJB,BMW,Series 3,4 door + boot,2016,brown,2025/05/05
62,62,MX22 IYG,FORD,focus,5 door hatchback,2022,brown,2025/02/26
63,63,FJ20 KFF,BMW,X2,5 door Estate,2020,red,2024/11/09
64,64,MD20 EVW,VAUXHALL,Astra,5 door hatchback,2020,red,2024/08/16
65,65,SH22 GDM,VAUXHALL,Astra,5 door hatchback,2022,brown,2024/09/01
66,66,LL24 VCP,VAUXHALL,Astra,5 door hatchback,2024,blue,2025/03/27
67,67,YV24 SII,VAUXHALL,Astra,5 door hatchback,2024,blue,2024/12/04
68,68,XO20 CIH,TOYOTA,City Verso,Multi Purpose Vehicle,2020,black,2025/05/25
69,69,FN24 BYC,VAUXHALL,Astra,5 door hatchback,2024,black,2024/10/18
70,70,WK18 HUG,VAUXHALL,Astra,5 door hatchback,2018,yellow,2024/10/14
71,71,NR16 JLK,TOYOTA,Prius,4 door + boot,2016,white,2024/07/10
72,72,LS16 ITF,VAUXHALL,Astra,5 door hatchback,2016,red,2025/03/22
73,73,KX18 GIG,BMW,X2,5 door Estate,2018,white,2024/07/06
74,74,AB20 SHR,TOYOTA,Corolla,5 door hatchback,2020,red,2024/11/09
75,75,QI21 YLZ,FORD,focus,5 door hatchback,2021,red,2025/02/20
76,76,SI20 SOJ,FORD,focus,5 door hatchback,2020,brown,2024/12/01
77,77,PC22 FEM,BMW,X2,5 door Estate,2022,yellow,2025/01/20
78,78,GH17 ZWC,FORD,Explorer,5 door Estate,2017,brown,2024/06/30
79,79,DT20 ICD,FORD,focus,5 door hatchback,2020,silver,2025/01/03
80,80,JX21 KUM,FORD,focus,5 door hatchback,2021,black,2024/07/08
81,81,TY19 BNZ,FORD,focus,5 door hatchback,2019,brown,2025/04/05
82,82,LD20 DEU,VAUXHALL,Astra,5 door hatchback,2020,black,2024/09/12
83,83,WD19 ZIG,BMW,Series 3,4 door + boot,2019,silver,2024/10/28
84,84,SV23 TVF,VAUXHALL,Astra,5 door hatchback,2023,black,2024/12/28
85,85,QN18 QLV,VOLKSWAGEN,Polo,5 door hatchback,2018,blue,2024/11/14
86,86,FR22 ZPL,VAUXHALL,Astra,5 door hatchback,2022,yellow,2025/02/21
87,87,BO23 QKH,VAUXHALL,Astra,5 door hatchback,2023,brown,2024/12/01
88,88,FO23 ZAD,VAUXHALL,Astra,5 door hatchback,2023,silver,2025/05/12
89,89,VQ16 TJE,BMW,Series 3,4 door + boot,2016,blue,2024/11/02
90,90,TE16 UWF,TOYOTA,Urban Cruiser,5 door Estate,2016,silver,2025/05/01
91,91,IL17 NDL,BMW,X1,5 door Estate,2017,brown,2025/05/19
92,92,IP17 BMN,FORD,Mondeo,4 door + boot,2017,black,2024/11/27
93,93,OD20 BVK,VAUXHALL,Astra,5 door hatchback,2020,white,2024/10/14
94,94,RO20 XHE,FORD,focus,5 door hatchback,2020,blue,2024/12/13
95,95,NR21 XSH,TOYOTA,Prius,4 door + boot,2021,red,2024/08/20
96,96,TP16 ASX,VAUXHALL,Zafira,5 door Estate,2016,white,2024/10/06
97,97,RC22 KGH,VAUXHALL,Astra,5 door hatchback,2022,black,2025/03/03
98,98,QN16 NYH,VOLKSWAGEN,Polo,5 door hatchback,2016,yellow,2024/07/10
99,99,CA17 HRB,TOYOTA,Corolla,5 door hatchback,2017,white,2024/12/27
100,100,NI16 TMF,VAUXHALL,Astra,5 door hatchback,2016,red,2025/02/13
101,101,FZ16 INP,VAUXHALL,Astra,5 door hatchback,2016,yellow,2024/09/14
102,102,UX18 XAB,BMW,X2,5 door Estate,2018,blue,2024/06/20
103,103,XX24 PZQ,FORD,focus,5 door hatchback,2024,red,2024/06/25
104,104,PJ17 YIW,VAUXHALL,Astra,5 door hatchback,2017,black,2025/05/28
105,105,IZ17 HTZ,TOYOTA,City Verso,Multi Purpose Vehicle,2017,red,2024/10/05
106,106,GK22 FOZ,BMW,series 4,5 door hatchback,2022,black,2025/03/29
107,107,TY23 WIM,VOLKSWAGEN,Polo,5 door hatchback,2023,black,2024/06/23
108,108,OU18 WWY,VOLKSWAGEN,Polo,5 door hatchback,2018,yellow,2024/07/18
109,109,PN24 FGF,FORD,Tourneo Courier,Multi Purpose Vehicle,2024,white,2024/12/19
110,110,YT21 MHY,VAUXHALL,Astra,5 door hatchback,2021,blue,2024/07/20
111,111,FY16 PDA,BMW,X1,5 door Estate,2016,silver,2024/10/04
112,112,XT19 ROF,VOLKSWAGEN,Passat,4 door + boot,2019,red,2024/06/11
113,113,IN17 HWX,BMW,Series 3,4 door + boot,2017,yellow,2024/09/02
114,114,RY17 NXB,TOYOTA,City Verso,Multi Purpose Vehicle,2017,yellow,2025/02/25
115,115,OT16 WYC,VAUXHALL,,4 door + boot,2016,blue,2024/12/07
116,116,GC24 EXG,FORD,focus,5 door hatchback,2024,silver,2025/05/02
117,117,BW24 LIP,VAUXHALL,Astra,5 door hatchback,2024,brown,2025/03/29
118,118,AO17 JTW,BMW,X1,5 door Estate,2017,silver,2024/09/27
119,119,LO21 OMO,VOLKSWAGEN,Tiguan,Multi Purpose Vehicle,2021,blue,2025/01/20
120,120,YI23 KXD,FORD,focus,5 door hatchback,2023,yellow,2024/07/13
121,121,UD18 QUT,VOLKSWAGEN,Polo,5 door hatchback,2018,blue,2024/10/20
122,122,NW24 ZAQ,VOLKSWAGEN,Polo,5 door hatchback,2024,red,2024/09/21
123,123,EX19 UFU,VAUXHALL,Astra,5 door hatchback,2019,blue,2025/02/10
124,124,JF21 QXD,TOYOTA,Corolla,5 door hatchback,2021,brown,2024/09/23
125,125,MZ18 PHH,TOYOTA,Corolla,5 door hatchback,2018,blue,2025/03/15
126,126,NC16 TZI,FORD,focus,5 door hatchback,2016,yellow,2025/03/10
127,127,SE24 SMK,VAUXHALL,Astra,5 door hatchback,2024,white,2025/04/18
128,128,QW21 SFS,BMW,series 4,5 door hatchback,2021,blue,2024/11/27
129,129,OV18 CXM,BMW,Series 3,4 door + boot,2018,red,2024/07/13
130,130,IH21 PNA,VAUXHALL,Astra,5 door hatchback,2021,black,2024/09/13
131,131,DJ24 LXP,VAUXHALL,Astra,5 door hatchback,2024,red,2025/04/01
132,132,WV21 XAJ,VOLKSWAGEN,Passat,4 door + boot,2021,blue,2024/07/31
133,133,VT23 MVF,FORD,focus,5 door hatchback,2023,blue,2025/02/08
134,134,PF20 OOO,VOLKSWAGEN,Polo,5 door hatchback,2020,red,2025/03/27
135,135,AJ20 BTI,FORD,focus,5 door hatchback,2020,yellow,2025/04/02
136,136,XQ17 ZLN,BMW,Series 3,4 door + boot,2017,black,2024/09/19
137,137,XK19 NKC,VAUXHALL,Astra,5 door hatchback,2019,yellow,2025/05/28
138,138,RQ22 AQR,VAUXHALL,Zafira,5 door Estate,2022,brown,2024/07/16
139,139,EN24 ZCJ,VAUXHALL,Zafira,5 door Estate,2024,silver,2025/04/02
140,140,AE24 LJC,BMW,X1,5 door Estate,2024,silver,2025/03/21
141,141,TG21 ICE,FORD,Tourneo Courier,Multi Purpose Vehicle,2021,brown,2025/04/11
142,142,OB19 VSO,VOLKSWAGEN,Passat,4 door + boot,2019,yellow,2025/02/20
143,143,RC24 GFZ,TOYOTA,Urban Cruiser,5 door Estate,2024,blue,2024/11/19
144,144,GD21 SQI,BMW,Series 3,4 door + boot,2021,red,2024/11/26
145,145,GP23 TIK,TOYOTA,Corolla,5 door hatchback,2023,yellow,2025/02/10
146,146,AC23 DEJ,VAUXHALL,Mokka,Multi Purpose Vehicle,2023,silver,2025/05/24
147,147,UG23 EML,BMW,series 4,5 door hatchback,2023,brown,2024/09/15
148,148,FI18 DXG,VOLKSWAGEN,Passat,5 door Estate,2018,brown,2024/10/03
149,149,EF19 NIW,FORD,focus,5 door hatchback,2019,yellow,2025/01/13
150,150,QM21 CRF,BMW,Series 3,4 door + boot,2021,red,2025/02/16
151,151,BN20 NJE,FORD,focus,5 door hatchback,2020,silver,2025/02/18
152,152,SV20 TSS,VOLKSWAGEN,Polo,5 door hatchback,2020,blue,2025/02/21
153,153,GB21 SBW,FORD,focus,5 door hatchback,2021,red,2024/08/07
154,154,SQ18 IBY,FORD,focus,5 door hatchback,2018,red,2025/01/28
155,155,BG18 OCL,VOLKSWAGEN,Passat,5 door Estate,2018,black,2025/04/30
156,156,XW24 ZNJ,VOLKSWAGEN,Polo,5 door hatchback,2024,blue,2024/09/09
157,157,IK24 DKY,BMW,Series 3,4 door + boot,2024,blue,2024/12/10
158,158,TX16 LMK,VOLKSWAGEN,Polo,5 door hatchback,2016,black,2024/06/20
159,159,RE24 TML,BMW,X1,5 door Estate,2024,white,2024/06/07
160,160,NP24 BNP,VAUXHALL,Astra,5 door hatchback,2024,silver,2024/07/31
161,161,FD22 AUV,VOLKSWAGEN,Polo,5 door hatchback,2022,red,2025/03/20
162,162,KK23 XLP,FORD,focus,5 door hatchback,2023,silver,2025/04/16
163,163,PT16 LXW,BMW,X1,5 door Estate,2016,yellow,2024/06/18
164,164,YG19 HSE,VOLKSWAGEN,Tiguan,Multi Purpose Vehicle,2019,silver,2024/11/02
165,165,WT21 PGT,BMW,Series 3,4 door + boot,2021,blue,2025/04/25
166,166,UF21 GRF,FORD,focus,5 door hatchback,2021,blue,2025/04/19
167,167,ZZ23 MOC,FORD,focus,5 door hatchback,2023,silver,2024/08/08
168,168,VO18 PKA,FORD,focus,5 door hatchback,2018,silver,2024/09/10
169,169,IV19 RAT,BMW,Series 3,4 door + boot,2019,blue,2024/11/21
170,170,DL17 MLU,FORD,Explorer,5 door Estate,2017,brown,2024/07/12
171,171,ZN24 WRT,VAUXHALL,Astra,5 door hatchback,2024,silver,2025/02/05
172,172,PE21 XFO,BMW,Series 3,4 door + boot,2021,silver,2025/02/27
173,173,KN21 MLE,FORD,focus,5 door hatchback,2021,brown,2024/07/14
174,174,IY17 OXL,VOLKSWAGEN,Passat,5 door Estate,2017,black,2025/04/22
175,175,AM19 MVV,VOLKSWAGEN,Polo,5 door hatchback,2019,red,2024/11/09
176,176,MF21 SJR,VAUXHALL,Astra,5 door hatchback,2021,brown,2025/01/10
177,177,ZY20 IQR,BMW,X2,5 door Estate,2020,white,2025/03/24
178,178,HI21 TJQ,VAUXHALL,Astra,5 door hatchback,2021,blue,2025/03/05
179,179,RS17 YNO,BMW,Series 3,4 door + boot,2017,black,2025/01/20
180,180,SZ24 NEX,FORD,focus,5 door hatchback,2024,red,2024/11/22
181,181,VR16 CFM,FORD,focus,5 door hatchback,2016,black,2024/08/21
182,182,OY23 VGJ,BMW,Series 3,4 door + boot,2023,silver,2024/06/08
183,183,AV24 BJB,FORD,focus,5 door hatchback,2024,red,2025/01/16
184,184,YI18 LEV,BMW,Series 3,4 door + boot,2018,blue,2025/02/11
185,185,TQ20 GAE,VAUXHALL,Astra,5 door hatchback,2020,red,2024/09/14
186,186,TA20 NWU,VAUXHALL,Astra,5 door hatchback,2020,silver,2024/08/01
187,187,MT16 SDL,VAUXHALL,Astra,5 door hatchback,2016,brown,2025/04/24
188,188,LW24 OTL,VAUXHALL,Mokka,Multi Purpose Vehicle,2024,yellow,2024/07/09
189,189,WA16 ZNK,FORD,focus,5 door hatchback,2016,blue,2025/04/13
190,190,BL16 XNY,VOLKSWAGEN,Tiguan,Multi Purpose Vehicle,2016,silver,2024/07/13
191,191,XS16 XBH,TOYOTA,Urban Cruiser,5 door Estate,2016,silver,2024/09/12
192,192,MC23 UHJ,BMW,Series 3,4 door + boot,2023,blue,2025/03/14
193,193,OO18 TUI,FORD,focus,5 door hatchback,2018,brown,2024/10/29
194,194,GO20 GBO,VAUXHALL,Astra,5 door hatchback,2020,white,2024/07/06
195,195,OC16 ICM,VOLKSWAGEN,Polo,5 door hatchback,2016,white,2024/07/09
196,196,QC20 ZVT,FORD,Tourneo Courier,Multi Purpose Vehicle,2020,yellow,2024/10/11
197,197,SR18 KYL,TOYOTA,Corolla,5 door hatchback,2018,brown,2025/04/22
198,198,NA23 YWU,FORD,Mondeo,4 door + boot,2023,black,2024/12/15
199,199,GR18 EIQ,FORD,focus,5 door hatchback,2018,red,2025/05/28
200,200,XM17 PRS,FORD,focus,5 door hatchback,2017,yellow,2024/10/21
201,201,JN23 YXQ,BMW,X2,5 door Estate,2023,yellow,2024/06/17
202,202,CK24 QIA,BMW,Series 3,4 door + boot,2024,brown,2024/09/04
