Vehicle_id,driver_id, vehicle_registration_number,make,model,body_style,year_registered,colour,insurance_expiry _date
203,203,BU17 TYK,BMW,Series 3,4 door + boot,2017,white,2024/06/12
204,204,KB24 ZTU,VOLKSWAGEN,Polo,5 door hatchback,2024,brown,2025/02/15
205,205,RG18 IVK,VOLKSWAGEN,Polo,5 door hatchback,2018,white,2025/03/12
206,206,ZS16 QOK,VOLKSWAGEN,Polo,5 door hatchback,2016,brown,2024/09/29
207,207,JK21 CHO,VAUXHALL,Astra,5 door hatchback,2021,red,2024/11/10
208,208,EX18 ATS,TOYOTA,City Verso,Multi Purpose Vehicle,2018,brown,2025/01/08
209,209,RB20 USS,FORD,focus,5 door hatchback,2020,brown,2024/12/28
210,210,RW23 HEE,FORD,focus,5 door hatchback,2023,brown,2025/01/12
211,211,FC23 VZD,VOLKSWAGEN,Polo,5 door hatchback,2023,red,2024/12/23
212,212,HC19 JLF,VOLKSWAGEN,Polo,5 door hatchback,2019,yellow,2024/11/21
213,213,OM19 PJJ,VAUXHALL,Astra,5 door hatchback,2019,silver,2025/05/14
214,214,QO19 KJQ,TOYOTA,Corolla,5 door hatchback,2019,yellow,2025/01/11
215,215,IM19 IUG,FORD,focus,5 door hatchback,2019,white,2024/12/28
216,216,ML21 RYC,VOLKSWAGEN,Polo,5 door hatchback,2021,black,2024/10/29
217,217,IJ18 KKO,BMW,series 1,5 door hatchback,2018,silver,2024/10/18
218,218,WC24 GNW,FORD,focus,5 door hatchback,2024,black,2024/09/13
219,219,QX19 PQA,FORD,Tourneo Courier,Multi Purpose Vehicle,2019,brown,2024/10/05
220,220,MZ24 IDB,VOLKSWAGEN,Polo,5 door hatchback,2024,brown,2025/02/24
221,221,GM20 JLZ,TOYOTA,Corolla,5 door hatchback,2020,blue,2024/08/31
222,222,OQ23 ZAK,VOLKSWAGEN,Polo,5 door hatchback,2023,red,2025/03/31
223,223,LP16 UTB,VOLKSWAGEN,Jetta,4 door + boot,2016,white,2024/06/28
224,224,KP23 KSN,FORD,focus,5 door hatchback,2023,white,2024/09/11
225,225,HI18 QYE,FORD,focus,5 door hatchback,2018,white,2024/08/30
226,226,YH20 KIO,VAUXHALL,Astra,5 door hatchback,2020,brown,2025/04/14
227,227,QE23 OTO,VAUXHALL,Astra,5 door hatchback,2023,black,2024/11/25
228,228,YQ24 UCU,BMW,X1,5 door Estate,2024,silver,2024/11/23
229,229,QC17 OMK,VOLKSWAGEN,Polo,5 door hatchback,2017,black,2025/02/24
230,230,ZI22 HGI,FORD,Tourneo Courier,Multi Purpose Vehicle,2022,black,2025/04/03
231,231,GJ16 NXY,VAUXHALL,Astra,5 door hatchback,2016,silver,2025/03/21
232,232,EQ21 HGJ,VOLKSWAGEN,Polo,5 door hatchback,2021,yellow,2024/12/13
233,233,JC24 SLG,FORD,focus,5 door hatchback,2024,yellow,2025/03/20
234,234,SO16 MAR,VAUXHALL,Astra,5 door hatchback,2016,silver,2024/07/09
235,235,GU20 WPJ,VOLKSWAGEN,Tiguan,Multi Purpose Vehicle,2020,silver,2024/10/18
236,236,NS19 YGM,FORD,focus,5 door hatchback,2019,silver,2025/04/10
237,237,NM22 WPW,TOYOTA,City Verso,Multi Purpose Vehicle,2022,white,2024/06/03
238,238,MC21 MRM,VAUXHALL,Astra,5 door hatchback,2021,yellow,2025/03/22
239,239,IN19 MNQ,FORD,focus,5 door hatchback,2019,red,2024/10/19
240,240,ME20 EOE,VAUXHALL,Zafira,5 door Estate,2020,red,2024/12/25
241,241,AN18 ZEM,FORD,focus,5 door hatchback,2018,blue,2025/01/26
242,242,RH21 UQE,VOLKSWAGEN,Polo,5 door hatchback,2021,silver,2025/02/21
243,243,OJ21 XIG,TOYOTA,Corolla,5 door hatchback,2021,black,2025/01/02
244,244,GF20 AKI,FORD,focus,5 door hatchback,2020,black,2025/02/08
245,245,PB16 TDE,TOYOTA,Corolla,5 door hatchback,2016,white,2025/01/05
246,246,DL22 FGU,VAUXHALL,Astra,5 door hatchback,2022,brown,2024/11/21
247,247,JP24 SRD,VOLKSWAGEN,Polo,5 door hatchback,2024,brown,2025/04/25
248,248,YC22 HNS,VOLKSWAGEN,Polo,5 door hatchback,2022,red,2024/08/06
249,249,PP19 NDA,FORD,Explorer,5 door Estate,2019,yellow,2025/02/16
250,250,HT19 QRS,VAUXHALL,Astra,5 door hatchback,2019,silver,2025/05/03
251,251,QK17 RDT,FORD,focus,5 door hatchback,2017,black,2024/11/26
252,252,FG16 MQR,FORD,focus,5 door hatchback,2016,yellow,2024/10/26
253,253,BN24 PYB,VOLKSWAGEN,Polo,5 door hatchback,2024,black,2025/04/28
254,254,XV23 OQH,FORD,focus,5 door hatchback,2023,silver,2024/09/06
255,255,OT22 CUA,FORD,focus,5 door hatchback,2022,black,2025/04/28
256,256,XZ18 POC,BMW,series 1,5 door hatchback,2018,white,2025/02/16
257,257,SN24 WHU,VAUXHALL,Astra,5 door hatchback,2024,black,2024/10/14
258,258,JY19 MUI,BMW,Series 3,4 door + boot,2019,white,2025/01/29
259,259,FH23 EEC,VAUXHALL,Astra,5 door hatchback,2023,silver,2024/08/29
260,260,QG20 GRW,BMW,Series 3,4 door + boot,2020,red,2024/10/28
261,261,HW16 OEZ,BMW,X1,5 door Estate,2016,red,2025/04/12
262,262,KT23 QLJ,TOYOTA,Corolla,5 door hatchback,2023,red,2024/12/16
263,263,LQ23 YIT,FORD,Tourneo Courier,Multi Purpose Vehicle,2023,yellow,2025/01/24
264,264,QL17 DLM,VAUXHALL,Mokka,Multi Purpose Vehicle,2017,brown,2024/06/05
265,265,TJ20 ZXI,BMW,Series 3,4 door + boot,2020,black,2024/11/20
266,266,CC19 GME,VAUXHALL,Astra,5 door hatchback,2019,brown,2024/07/05
267,267,XV16 MAU,VAUXHALL,Astra,5 door hatchback,2016,brown,2025/04/04
268,268,CZ20 FQI,VAUXHALL,Astra,5 door hatchback,2020,silver,2025/02/28
269,269,LE20 BEH,BMW,series 4,5 door hatchback,2020,silver,2024/07/26
270,270,BE20 PON,FORD,Tourneo Courier,Multi Purpose Vehicle,2020,silver,2024/11/08
271,271,FR24 TVV,FORD,focus,5 door hatchback,2024,yellow,2025/04/03
272,272,TL17 EHF,VOLKSWAGEN,Jetta,4 door + boot,2017,red,2025/04/13
273,273,UB18 CWT,VOLKSWAGEN,Jetta,4 door + boot,2018,brown,2024/06/28
274,274,QW16 JFZ,TOYOTA,Corolla,5 door hatchback,2016,silver,2024/11/07
275,275,HX21 YKH,VOLKSWAGEN,Polo,5 door hatchback,2021,brown,2025/03/13
276,276,EP23 LDD,TOYOTA,Urban Cruiser,5 door Estate,2023,black,2024/12/31
277,277,ZK18 FJV,VAUXHALL,Astra,5 door hatchback,2018,blue,2024/12/12
278,278,RA18 LZQ,FORD,Tourneo Courier,Multi Purpose Vehicle,2018,yellow,2025/04/10
279,279,AL23 NUF,VOLKSWAGEN,Polo,5 door hatchback,2023,blue,2025/04/11
280,280,TW20 DPZ,FORD,focus,5 door hatchback,2020,silver,2025/04/25
281,281,WB18 PDJ,FORD,focus,5 door hatchback,2018,black,2025/05/08
282,282,EP21 GLK,FORD,focus,5 door hatchback,2021,blue,2024/07/16
283,283,YO22 EOS,VAUXHALL,Astra,5 door hatchback,2022,red,2025/04/15
284,284,HI17 AOM,FORD,focus,5 door hatchback,2017,black,2025/01/31
285,285,QW17 UXV,BMW,Series 3,4 door + boot,2017,white,2024/08/10
286,286,ST19 OTQ,VAUXHALL,Mokka,Multi Purpose Vehicle,2019,brown,2024/12/15
287,287,XJ16 FDB,VOLKSWAGEN,Polo,5 door hatchback,2016,brown,2025/04/14
288,288,ZX22 VCL,FORD,focus,5 door hatchback,2022,black,2025/01/12
289,289,OV20 CBB,VAUXHALL,Astra,5 door hatchback,2020,blue,2024/11/03
290,290,SX22 BWY,BMW,X2,5 door Estate,2022,black,2024/07/08
291,291,FV23 FHD,FORD,focus,5 door hatchback,2023,blue,2025/03/13
292,292,MS18 KOV,FORD,focus,5 door hatchback,2018,red,2025/01/02
293,293,AY16 VGL,VAUXHALL,Astra,5 door hatchback,2016,yellow,2024/10/14
294,294,RU16 JKM,VAUXHALL,Astra,5 door hatchback,2016,white,2025/02/18
295,295,LR18 OZA,FORD,focus,5 door hatchback,2018,red,2024/11/26
296,296,IX18 TVT,VOLKSWAGEN,Jetta,4 door + boot,2018,black,2024/12/09
297,297,XJ18 YTW,VAUXHALL,Astra,5 door hatchback,2018,blue,2025/05/20
298,298,BG17 TMP,VOLKSWAGEN,Passat,5 door Estate,2017,black,2025/02/04
299,299,VK16 VEE,TOYOTA,Prius,4 door + boot,2016,blue,2025/04/09
300,300,MN17 IJN,TOYOTA,Corolla,5 door hatchback,2017,brown,2024/06/20
301,301,ZD22 ZLZ,VAUXHALL,Astra,5 door hatchback,2022,yellow,2024/06/08
302,302,TY22 EBR,FORD,focus,5 door hatchback,2022,red,2024/12/06
303,303,FZ23 INT,BMW,Series 3,4 door + boot,2023,yellow,2024/06/25
304,304,HP24 OFF,VAUXHALL,Astra,5 door hatchback,2024,brown,2024/09/22
305,305,FB20 OCM,VAUXHALL,Astra,5 door hatchback,2020,white,2025/04/29
306,306,NC22 DWX,VOLKSWAGEN,Polo,5 door hatchback,2022,brown,2025/01/11
307,307,YZ16 EUT,VOLKSWAGEN,Polo,5 door hatchback,2016,yellow,2025/01/24
308,308,CX23 STZ,FORD,Tourneo Courier,Multi Purpose Vehicle,2023,black,2024/10/29
309,309,KQ19 XSV,VAUXHALL,Astra,5 door hatchback,2019,yellow,2024/07/14
310,310,WA17 JPL,FORD,focus,5 door hatchback,2017,black,2024/10/02
311,311,RN24 AGD,VOLKSWAGEN,Passat,5 door Estate,2024,white,2024/06/07
312,312,QC18 RCJ,BMW,Series 3,4 door + boot,2018,red,2024/10/14
313,313,EZ20 CRW,FORD,Explorer,5 door Estate,2020,white,2025/04/27
314,314,CE19 GEV,BMW,Series 3,4 door + boot,2019,yellow,2025/01/03
315,315,GW17 FOQ,FORD,Explorer,5 door Estate,2017,yellow,2025/05/01
316,316,QN23 HPX,VOLKSWAGEN,Polo,5 door hatchback,2023,white,2025/04/29
317,317,FC24 LIR,VAUXHALL,Astra,5 door hatchback,2024,white,2024/11/23
318,318,RI18 CBP,VOLKSWAGEN,Tiguan,Multi Purpose Vehicle,2018,red,2024/07/22
319,319,KL22 KDF,FORD,focus,5 door hatchback,2022,black,2024/11/19
320,320,IX18 EYR,VAUXHALL,Astra,5 door hatchback,2018,brown,2024/09/24
321,321,DJ18 TFA,VOLKSWAGEN,Polo,5 door hatchback,2018,brown,2025/03/30
322,322,SB24 STD,VAUXHALL,Astra,5 door hatchback,2024,red,2025/03/30
323,323,QF18 RNF,VAUXHALL,Astra,5 door hatchback,2018,blue,2025/05/11
324,324,NJ22 UMA,FORD,focus,5 door hatchback,2022,black,2024/09/07
325,325,WO21 JPE,FORD,focus,5 door hatchback,2021,brown,2024/09/29
326,326,TB24 TSD,VAUXHALL,Astra,5 door hatchback,2024,brown,2025/02/25
327,327,GB17 MVW,VOLKSWAGEN,Jetta,4 door + boot,2017,silver,2025/04/29
328,328,UC18 GGY,FORD,Tourneo Courier,Multi Purpose Vehicle,2018,yellow,2024/11/11
329,329,GD19 RZT,VAUXHALL,Astra,5 door hatchback,2019,white,2024/08/29
330,330,KT22 LYA,FORD,focus,5 door hatchback,2022,black,2025/01/04
331,331,ST24 DSP,VOLKSWAGEN,Tiguan,Multi Purpose Vehicle,2024,blue,2024/12/14
332,332,BY22 VAE,TOYOTA,Corolla,5 door hatchback,2022,brown,2024/12/25
333,333,OV21 QWB,VOLKSWAGEN,Polo,5 door hatchback,2021,black,2025/05/01
334,334,GN18 FXU,VOLKSWAGEN,Passat,5 door Estate,2018,silver,2025/02/25
335,335,OT19 EDO,FORD,Mondeo,4 door + boot,2019,yellow,2024/09/28
336,336,OM19 PNP,BMW,X2,5 door Estate,2019,blue,2025/02/09
337,337,EV21 YAP,VAUXHALL,Astra,5 door hatchback,2021,blue,2025/01/19
338,338,PL18 MZV,FORD,focus,5 door hatchback,2018,white,2025/04/27
339,339,BA16 ICP,FORD,focus,5 door hatchback,2016,blue,2024/12/07
340,340,JA19 TNG,FORD,focus,5 door hatchback,2019,black,2025/03/12
341,341,IZ22 RBF,VOLKSWAGEN,Polo,5 door hatchback,2022,white,2025/01/31
342,342,PI18 JYV,FORD,focus,5 door hatchback,2018,red,2024/09/25
343,343,XS24 VIB,BMW,X1,5 door Estate,2024,red,2024/12/09
344,344,XX21 EIG,VAUXHALL,Astra,5 door hatchback,2021,white,2025/02/24
345,345,AG24 YYC,BMW,Series 3,4 door + boot,2024,silver,2025/01/17
346,346,VT20 JFM,VAUXHALL,Mokka,Multi Purpose Vehicle,2020,silver,2024/07/24
347,347,EO21 KQE,VOLKSWAGEN,Polo,5 door hatchback,2021,red,2024/06/21
348,348,QB23 HVX,TOYOTA,City Verso,Multi Purpose Vehicle,2023,black,2024/06/19
349,349,YP17 IFK,VAUXHALL,Mokka,Multi Purpose Vehicle,2017,silver,2024/11/03
350,350,QW24 JMA,FORD,focus,5 door hatchback,2024,blue,2025/04/05
351,351,RP19 NHJ,VOLKSWAGEN,Polo,5 door hatchback,2019,blue,2025/04/09
352,352,GR19 APO,FORD,focus,5 door hatchback,2019,yellow,2024/11/24
353,353,FI16 TIE,VAUXHALL,Astra,5 door hatchback,2016,silver,2024/12/12
354,354,SY21 LIG,BMW,Series 3,4 door + boot,2021,silver,2024/11/30
355,355,FQ21 XFH,FORD,Tourneo Courier,Multi Purpose Vehicle,2021,red,2024/08/02
356,356,LT20 PQW,BMW,series 4,5 door hatchback,2020,white,2025/04/14
357,357,ST19 WEX,VOLKSWAGEN,Polo,5 door hatchback,2019,black,2024/12/12
358,358,JV22 MHP,FORD,focus,5 door hatchback,2022,black,2024/07/16
359,359,TU16 BHW,BMW,Series 3,4 door + boot,2016,red,2025/05/02
360,360,FK23 JDU,VOLKSWAGEN,Passat,5 door Estate,2023,white,2025/05/02
361,361,SA24 DRN,VOLKSWAGEN,Passat,5 door Estate,2024,silver,2025/02/11
362,362,GO22 CEP,BMW,Series 3,4 door + boot,2022,silver,2025/01/29
363,363,AR17 WGE,VAUXHALL,Astra,5 door hatchback,2017,white,2025/02/01
364,364,AG20 TJS,VAUXHALL,Astra,5 door hatchback,2020,brown,2024/12/08
365,365,UG17 BNK,VAUXHALL,Astra,5 door hatchback,2017,white,2024/08/06
366,366,OF23 CLN,VOLKSWAGEN,Polo,5 door hatchback,2023,blue,2025/05/05
367,367,LN18 LTL,VOLKSWAGEN,Jetta,4 door + boot,2018,white,2025/04/14
368,368,BY22 KLM,VOLKSWAGEN,Polo,5 door hatchback,2022,brown,2024/06/14
369,369,IS21 CFC,VOLKSWAGEN,Tiguan,Multi Purpose Vehicle,2021,black,2025/04/06
370,370,TS17 IFH,TOYOTA,Urban Cruiser,5 door Estate,2017,brown,2025/05/14
371,371,WH19 SDV,VAUXHALL,Astra,5 door hatchback,2019,white,2024/07/13
372,372,XW16 VBK,VAUXHALL,Astra,5 door hatchback,2016,red,2024/10/31
373,373,MJ16 ING,VOLKSWAGEN,Passat,5 door Estate,2016,black,2024/08/22
374,374,LD19 DTZ,FORD,focus,5 door hatchback,2019,yellow,2024/08/27
375,375,MM17 DFK,VAUXHALL,Astra,5 door hatchback,2017,black,2025/05/06
376,376,LQ18 ANA,VAUXHALL,Astra,5 door hatchback,2018,brown,2024/06/30
377,377,RJ24 UCQ,FORD,Tourneo Courier,Multi Purpose Vehicle,2024,silver,2024/08/28
378,378,FT18 BJJ,FORD,focus,5 door hatchback,2018,white,2024/11/13
379,379,CQ23 EHW,FORD,focus,5 door hatchback,2023,red,2024/12/20
380,380,KB17 LGA,VOLKSWAGEN,Polo,5 door hatchback,2017,black,2024/11/19
381,381,XX17 BBO,BMW,Series 3,4 door + boot,2017,red,2024/06/01
382,382,OJ21 EBY,FORD,focus,5 door hatchback,2021,silver,2024/11/05
383,383,AV23 WCT,VOLKSWAGEN,Polo,5 door hatchback,2023,blue,2025/02/20
384,384,BQ16 DIM,VOLKSWAGEN,Passat,5 door Estate,2016,white,2025/05/07
385,385,ZA21 CGU,VAUXHALL,Astra,5 door hatchback,2021,black,2025/01/27
386,386,LK20 SLA,FORD,focus,5 door hatchback,2020,white,2025/03/16
387,387,HB19 WPH,VOLKSWAGEN,Polo,5 door hatchback,2019,red,2025/05/14
388,388,TA23 FMA,VOLKSWAGEN,Polo,5 door hatchback,2023,black,2025/03/20
389,389,KN24 QFY,TOYOTA,Corolla,5 door hatchback,2024,yellow,2024/07/13
390,390,LL22 UZD,VAUXHALL,Astra,5 door hatchback,2022,yellow,2024/06/24
391,391,PM18 JME,FORD,focus,5 door hatchback,2018,black,2025/05/08
392,392,DE16 PFR,VAUXHALL,Astra,5 door hatchback,2016,white,2024/06/05
393,393,HH22 UFM,FORD,focus,5 door hatchback,2022,brown,2024/08/18
394,394,KD21 EMQ,VOLKSWAGEN,Polo,5 door hatchback,2021,white,2024/12/03
395,395,DX20 OXB,FORD,focus,5 door hatchback,2020,white,2025/04/21
396,396,AC20 ZQS,VAUXHALL,Astra,5 door hatchback,2020,black,2024/10/19
397,397,ZN22 BSF,VAUXHALL,Astra,5 door hatchback,2022,red,2024/12/05
398,398,AB24 LRS,VOLKSWAGEN,Polo,5 door hatchback,2024,black,2024/11/24
399,399,GC18 MKX,TOYOTA,Corolla,5 door hatchback,2018,red,2024/12/23
400,400,CP19 STX,VOLKSWAGEN,Passat,5 door Estate,2019,yellow,2024/06/18
